source_case,similar_case,similarity_score,method,citation_link,source_case_topic
62015CJ0270,62000CJ0298,0.32662699960715774,tfidf,0,public health
62015CJ0270,62003CJ0399,0.325972471055113,tfidf,0,public health
62015CJ0270,62000CJ0113,0.3225386686732967,tfidf,0,public health
62015CJ0270,61999CJ0365,0.31830041887172134,tfidf,0,public health
62015CJ0270,62000CJ0114,0.3158551021639304,tfidf,0,public health
62015CJ0270,61998CJ0351,0.31480946503805296,tfidf,0,public health
62015CO0604,62016CO0232,0.8928787122909793,tfidf,0,public health
62015CO0604,62015CJ0090,0.8915657423466055,tfidf,0,public health
62015CO0604,62012CO0615,0.8880172331551572,tfidf,0,public health
62015CO0604,62018CO0525,0.8853373707301175,tfidf,0,public health
62015CO0604,62011CJ0452,0.8850424223124902,tfidf,0,public health
62015CO0604,62017CJ0006,0.8849242873161212,tfidf,0,public health
62015CO0604,62013CJ0271,0.8846573704552326,tfidf,0,public health
62015CO0604,62016CO0410,0.8837533227037546,tfidf,0,public health
62015CO0604,62016CO0411,0.8830605461847043,tfidf,0,public health
62015CO0604,62017CJ0007,0.8821932526626319,tfidf,0,public health
62015CO0604,62013CO0624,0.8818421251987029,tfidf,0,public health
62015CO0604,62015CO0510,0.8814491479309257,tfidf,0,public health
62015CO0604,62011CJ0445,0.8777138705858224,tfidf,0,public health
62015CO0604,62017CJ0428,0.8762947854198171,tfidf,0,public health
62015CO0604,62017CJ0091,0.8756447189772028,tfidf,0,public health
